map_id,fragment_id,geom
geo,0269a84e-abc1-4c22-a677-1c7348f72323,{}
geo,026b0442-c82c-4041-a7a5-730de9f2830e,{}
geo,027199a2-37c8-4adf-9b08-2b3150f21cde,{}
geo,027fa4e2-de15-4ee2-b0db-e93574dcd0fc,{0101000020E61000002B4025F8F0BC5EC037250FFA88994840}
geo,028588de-66df-4eea-8ca7-22603b77080d,{}
geo,0290b13d-0118-4b3c-b148-feb6a5ad749b,{}
geo,029bc7f9-48ab-4497-8984-9c7ade624056,{0101000020E6100000D647F13B97B65EC00D7B905495A34840}
geo,02a353c3-52b4-49df-98db-6da57436b421,{}
geo,02aeae64-f19e-442a-abf8-07632caaa595,{0101000020E6100000E759A4E4B0B25EC03ED1D09A7AA44840}
geo,02b60fbc-7eb6-4b2f-a3e7-2b477aef239b,{}
geo,02b647d2-fcf5-442b-b13c-b56460da17de,{}
geo,02e15cb2-2d3d-492f-8c96-77740369886e,{}
geo,02f8dd3e-d1c1-455e-a994-cb5de409c821,{}
geo,0308107c-8d29-42c3-9cad-f4b57e2a51d6,{0101000020E6100000D751D504D1BB5EC01F735424159A4840}
geo,030d4d6f-a572-48e6-822a-6f91c1bfbb60,{}
geo,031bbb59-c7dd-4319-858f-6cbca923cdfa,{}
geo,03294d18-561b-4343-b383-b1af34935fc4,{0101000020E61000004C1CD4D924C25EC0C51D6FF25BA14840}
geo,032aad1c-4df0-47cf-abba-ce9ced7004a4,{}
geo,03300961-ebe6-4535-b17c-ce4b33793ad6,{}
geo,03303b5c-ba3f-4ede-be61-f93654205b79,{0101000020E61000007C9C69C276B65EC07331618FE4994840}
geo,033f50d4-a425-48f9-9c2b-c8733f598be9,{}
geo,034d91df-912a-4089-a9bc-3d3e86c60f35,{}
geo,03514111-70b8-4887-b495-71706c775a95,{}
geo,03558c79-eeb3-429a-a5a2-b5102d16c47b,{0101000020E6100000135F926FDBB75EC0A93F0CBE7AA34840}
geo,035ed775-9f2e-4a24-ba33-2e045236a273,{0101000020E6100000AF1CC64986BD5EC00527ECEC759B4840}
geo,037f15aa-6c2c-4a26-8008-e54d706ce833,{0101000020E6100000C0852B56C3BC5EC0D09E268E97994840}
geo,037faa59-e286-409a-81c0-1245aef8bc2b,{}
geo,037fed0f-08d7-4a61-b583-806c6c34cbca,{0101000020E61000000D56F723A0B95EC0B8C8E2A36A9A4840}
geo,038de631-a07c-424b-966e-dfc13af6687f,{0101000020E610000011B11C7CBCB75EC0CC199B67369A4840}
geo,0391d9bd-91c4-4882-ab8b-97b32ad6cd2c,{}
geo,03997d0f-848d-4fa9-b1b7-4986871aef46,{}
geo,039b4a8a-8609-4c03-8211-cb157a7852a4,{0101000020E6100000645A9BC6F6C45EC084A2D4B9FDA14840}
geo,03a186c0-5669-4a5a-9965-e10d85593c7c,{0101000020E6100000AFFF84C487C65EC0A326553607A34840:0101000020E610000020A45D3B87C65EC038A4AC3A06A34840:0101000020E61000001AD01CA386C65EC00FE37F3C05A34840:0101000020E61000002722B2FE85C65EC0F85E324404A34840:0101000020E61000002781728085C65EC0F273E89903A34840:0101000020E610000075AB8CEB84C65EC08D5253DC02A34840}
geo,03a32282-fa81-4afa-af92-a0851d1b99d9,{}
geo,03a3290b-964a-43c6-b01a-7cf516611a1e,{}
geo,03aa3391-5781-4520-8fc4-2115afb27edf,{}
geo,03ac6ddc-5a14-47e8-97ff-26457c3123b8,{}
geo,03af36b8-c404-4766-bdcd-866431838bd5,{}
geo,03b5656d-f543-43ad-a285-46ed86dafd4b,{0101000020E61000006C184F4EFEB35EC001B562C966A34840}
geo,03bc43ee-d386-4ca4-8059-41a09e1d3486,{}
geo,03bf4895-8261-4956-a2f3-657b3a9a55f8,{0101000020E61000002BAEE06D14BD5EC02C2F54596F9A4840:0101000020E6100000DDDFEA4A15BD5EC04942C7B3709A4840:0101000020E6100000A1F2AFE515BD5EC0CC3450CF719A4840}
