osm_node,node_pair_id,track_node,notes
node/8570047235,NTMyNjYxMzAwMjUzMjY2MTMwMTQ=,3cfd9b8c-b450-4863-a963-0ff67caf8c93,LNO/1
node/8570047236,NTMyNjYxMzAwMTUzMjY2MTMwMDA=,2b920a60-b48b-4654-ac9d-c7edb4db7273,LNO/0
node/8570047237,Mjc4NDQwODMzNTI3ODQ0MDgzMzc=,d2fbfb4d-ae1f-4f46-ba44-c12e556ff76f,LNI/1
node/8570047238,Mjc4NDQwODMzMzI3ODQ0MDgzMzU=,626288f5-982a-4816-9388-c5161dfc078c,LNI/0
node/8570047239,NTMyNjU5MTQyMTU5ODQyNzA1MDg=,f2de3c05-55ae-4019-b35e-0e64fb18f4b8,BQO/1
node/8570047240,NDg2MTE1MjQ2MjQ4NjExNTI0NjM=,56f35493-e80b-4c79-b2fa-27935887495d,BQO/0
node/8570047241,NDU0MjQ5MTI5NTI0MjYwMDA1NTc=,bfbca24c-c680-436e-b7d6-5eef5a9cee83,BQI/1
node/8570047242,MjQyNjAwMDU1ODQ1NDI0OTEyOTU=,6cdf5ff4-68d1-4e1c-b2fa-f0c1f4f33596,BQI/0
node/8572703839,ODU3MjcwMzgzNTUzMjgzOTc0MzM=,be2329d5-7b72-4bae-b25f-3d0d2eaa32bb,BUO/0
node/8572703840,NTMyODM5NzQyNTUzMjgzOTc0MzE=,a4f28de1-5db0-4d7b-86c8-34a62965b61c,BUO/1
node/8572703843,NzA4MzExOTIyNDI3MjAxMjYxNzY=,98fcdab3-99d9-4e43-a8a0-abac0f150572,BUI/0
node/8572703844,ODU3MjcwMzgzNDExMTg2MjMxNjI3,e6039f5e-c160-486c-9d27-5bdb1d843e27,BUI/1
node/8572703847,MTExODYyMzE2MjYyNzIwMTI2MTc5,42cdc878-ecad-4d1e-ba43-247807ec5c09,GVI/0
node/8572703848,MjcyMDEyNjE3OTQwODU4OTAyMDI=,05f87b91-1bbe-4b4e-8951-1cb58d00db75,GVI/1
node/8573220536,ODU3MzIyMDUzNTQ3OTI0MjEyNDY=,61ab67c0-00b3-4c46-9d0d-15eb4b599593,M2/0
node/8576520496,NDU0MjUwNzI2MzkyOTc3NTY2MzI=,7bcee45e-7346-4bb2-b41f-d3b532f17f7d,LAI/1
node/8576520497,NTMyNjYxMzAxNjQ1NDI1MDcyNjM=,0634502a-4537-4d87-8197-ff0511aa69e5,LAI/0
node/8576526341,NTMyNjU5MDg2NDUzMjY2MDU0MDE=,1c7f7471-bfbc-4694-b654-3255a4e0134e,ICO/1
node/8576526342,NTMyNjYwNTQwMTUzMjY1OTA4NjU=,658686f9-8637-49c6-bd92-50791a53b5fb,ICO/0
node/8576526343,NTk4NDI3NDE0ODI3ODQ0MDgyNzM=,520b9220-d1c6-48f0-af6f-0387cc9e6764,ICI/1
node/8576526344,Mjc4NDQwODI3MDQ1NDI1MDY4MzE=,0892fd47-6599-490c-80dd-39405b3c0ce4,ICI/0
node/986279614,Mzk1NjA0MDE2ODc3OTE4NzQwOTM=,6611a34b-4a5c-4497-8dba-f57efcf1c079,CMI/1
node/986279615,MTE4MDM5NjI2MTY2NDYwNzM2MjQ=,1ad1da4b-43fb-4310-aead-00af28c1b015,BWO/0
node/986279617,NDI1OTY2MjkyOTc3OTE4NzE5NzQ=,fb8736bd-1aa5-4411-aeb0-b8a28f489397,CMO/0
node/986279620,NzkwNjI4OTQ4Mzk1NjA0MDE2OA==,a7a36f30-eaf8-488a-89d3-6f4fb781bfc7,CMI/0
node/986279621,NDI1OTY2MjkzMDQyNTk2NjI5Mjk=,4b2c6dcd-93ee-4aec-8847-69e0b3fd8336,CMO/1
node/986279624,NDI1OTEyNzA3OTQyNTkxMjcwNzY=,bda33c16-92be-4d65-b4d2-0cc94e3aea0b,BWI/1
node/986279625,NDI1OTEyNzA3NzQyNTkxMjcwNzg=,7c4794b8-64ee-4b32-b70f-e0158b6dc201,BWO/1
node/986279627,MTE4MDM5NjI2MTU0MjU5MTI3MDc5,c8949727-1d99-44e0-bcbd-a09ccccd5eaa,BWI/0
node/988387471,NDI0OTI4MjYzNjI1MzY4MzI5OQ==,fa94aff5-41de-464e-803e-9181e8d6937f,KGO/1
node/988387487,NDI0OTI4MjgwMTUzMjQ0MzI3MjI=,500d8d18-07ca-487a-bba9-f901a45825d1,KGI/0
node/988387492,NTMyNDQzMjcyMjgyNTAwMTU0NTQ=,9114e9b4-f0a9-4002-b602-764b10de7dc2,KGI/1
node/988387510,MjUzNjgzMjk5NDI0OTI4Mjc5OQ==,5386fcb8-e5ea-4e17-a5ec-1b10d569ee0b,KGO/0
